,features_of_metrics,S001C,S002C,S002I,S003I,S005I,S001S,S004S,S009S
38,angl_left_cheek_mov_mean,(95.71078570289319+0j),(87.36519865335013+0j),(103.30746094800456+0j),(88.41618655514208+0j),(97.9348308795466+0j),(79.8140220210511+0j),(95.23963322076284+0j),(87.91250677485337+0j)
39,angl_left_cheek_mov_var,(77.64246419250053+0j),(7.368740747257068+0j),(6.256097728150895+0j),(46.14195298858683+0j),(10.994559411058457+0j),(114.08636355578547+0j),(24.53586955148571+0j),(31.845369135198418+0j)
40,angl_left_cheek_mov_mad,(6.935764157855004+0j),(1.97460157471604+0j),(1.9515392330187638+0j),(4.79061302707899+0j),(1.7709759517664523+0j),(6.80793573033209+0j),(3.4834050092098607+0j),(4.405208432119231+0j)
41,angl_left_cheek_mov_max,(111.45644163596182+0j),(96.21808531324452+0j),(107.30428648529224+0j),(108.14246230668496+0j),(112.68440330582672+0j),(104.3366888281234+0j),(108.40175104757296+0j),(101.8657439262392+0j)
42,angl_left_cheek_mov_min,(74.91970276833095+0j),(81.05975184475656+0j),(92.84246655918128+0j),(75.91855602963533+0j),(90.3506262356509+0j),(65.45136708318752+0j),(84.40554084041584+0j),(77.11502217688195+0j)
43,angl_left_cheek_mov_sma,(95.71078570289319+0j),(87.36519865335013+0j),(103.30746094800456+0j),(88.41618655514208+0j),(97.9348308795466+0j),(79.8140220210511+0j),(95.23963322076284+0j),(87.91250677485337+0j)
44,angl_left_cheek_mov_energy,(9238.196964057644+0j),(7640.0466764865905+0j),(10678.687585251637+0j),(7863.563997942271+0j),(9602.22565881645+0j),(6484.364474732613+0j),(9095.123605576919+0j),(7760.454216573836+0j)
45,angl_left_cheek_mov_iqr,(13.307814014278577+0j),(3.7749508725151344+0j),(3.960043776315885+0j),(9.842343455497073+0j),(3.4475279880289946+0j),(17.198273707183745+0j),(7.093645251289601+0j),(8.726200142670336+0j)
46,angl_left_cheek_mov_entropy,(5.719301772581706+0j),(5.7231036706671565+0j),(5.723290340732545+0j),(5.70084414908418+0j),(5.723018430477873+0j),(5.714850807819186+0j),(5.7024307478934+0j),(5.7017290126804765+0j)
47,angl_left_cheek_mov_correlation,(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j)
48,angl_left_cheek_mov_kurtosis,(-0.67499026653784+0j),(0.32304254105564656+0j),(0.46809403709113306+0j),(-0.2820247888460412+0j),(3.0455091993663714+0j),(-0.8271300455983308+0j),(-0.40910572065213646+0j),(-0.8570301231834621+0j)
49,angl_left_cheek_mov_skewness,(-0.23657597064477184+0j),(0.3065588792958174+0j),(-0.6604436776472937+0j),(0.2712207815112784+0j),(1.0996134731418268+0j),(0.6840508458526068+0j),(0.09911899936943942+0j),(0.22103296311544435+0j)
50,angl_left_cheek_mov_maxFreqCompInd,0j,0j,0j,0j,0j,0j,0j,0j
51,angl_left_cheek_mov_maxFreqComp,(29287.50042508532-0j),(26733.750787925143-0j),(31612.083050089394-0j),(26524.855966542622-0j),(29968.058249141253-0j),(24423.090738441635-0j),(28571.88996622885-0j),(26373.75203245601-0j)
52,angl_left_cheek_mov_meanFreq,(101.47003987605173+0j),(89.28941759593499+7.430512269386669e-16j),(92.8424665591813+7.430512269386669e-16j),(78.1781999251332+1.5158245029548805e-15j),(100.1198782239928+0j),(98.90206218600242+7.430512269386669e-16j),(84.40554084041584+3.789561257387201e-16j),(101.8657439262392+0j)
53,angl_left_cheek_mov_skewnessFreq,(17.505125503309188-7.431924552564435e-18j),(17.416943167496637-2.5326012248649773e-18j),(17.406271218427243-2.7589356247541498e-18j),(17.253147972524488-3.1130514668226194e-18j),(17.399965121170453-8.490885079067168e-19j),(17.557510274966717-1.5993764076459954e-18j),(17.221264169192164+4.915581860084905e-18j),(17.253672263772177-2.176957313990838e-18j)
54,angl_left_cheek_mov_kurtosisFreq,(303.26258707663965-1.674942053564373e-16j),(301.2325346893671-5.88094280207296e-17j),(300.986020514251-6.416921028633388e-17j),(295.41034600748395-6.839439750767962e-17j),(300.8410284563909-1.9754340710475435e-17j),(304.4147915110177-3.6446848623384983e-17j),(294.71506381653836+1.11796137084753e-16j),(295.4559022423383-5.020965966798329e-17j)
55,angl_left_cheek_mov_median,(96.83015916782797+0j),(87.17719041395695+0j),(103.38995074781548+0j),(88.71228079573415+0j),(97.48596571540747+0j),(75.8890908572281+0j),(96.33183834001964+0j),(87.9057965750643+0j)
56,angl_left_cheek_mov_peak_count,(30+0j),(43+0j),(38+0j),(55+0j),(37+0j),(42+0j),(40+0j),(52+0j)
